1,100,7.76,1.85,,,,100,250,500,750,1000,2500,5000,7500,10000
1,250,7.76,1.97,,,1,1.85,1.97,1.97,1.99,1.99,3.36,3.62,3.71,3.7
1,500,7.76,1.97,,,2,6.72,3.87,3.84,3.89,3.96,4.73,6.66,6.08,6.56
1,750,7.76,1.99,,,4,6.96,7.43,7.92,7.66,7.86,8.87,13.05,13.78,13.41
1,1000,7.76,1.99,,,8,11.17,14.78,11.51,15.54,15.39,15.38,19.76,24.01,26
1,2500,7.7,3.36,,,12,12.72,21.14,23.75,17.36,18.43,20.12,24.28,34.83,36.51
1,5000,8,3.62,,,16,9.07,15.6,21.89,22.71,22.98,24.58,24.91,27.42,32.87
1,7500,4,3.71,,,20,9.92,19.22,25.98,26.48,28.08,29.86,30.04,30.57,32.2
1,10000,2,3.7,,,24,1.93,6.46,17.07,19.28,28.34,33.9,34.95,47.21,52.57
2,100,7.76,6.72,,,32,6.13,17.84,20.44,22.49,23.53,29.85,33.74,48.74,46.67
2,250,7.76,3.87,,,,,,,,,,,,
2,500,7.76,3.84,,,,,,,,,,,,
2,750,7.76,3.89,,,,,,,,,,,,
2,1000,7.76,3.96,,,,,,,,,,,,
2,2500,7.72,4.73,,,,,,,,,,,,
2,5000,7.63,6.66,,,,,,,,,,,,
2,7500,8,6.08,,,,,,,,,,,,
2,10000,4,6.56,,,,,,,,,,,,
4,100,7.76,6.96,,,,,,,,,,,,
4,250,7.76,7.43,,,,,,,,,,,,
4,500,7.76,7.92,,,,,,,,,,,,
4,750,7.76,7.66,,,,,,,,,,,,
4,1000,7.76,7.86,,,,,,,,,,,,
4,2500,7.76,8.87,,,,,,,,,,,,
4,5000,7.73,13.05,,,,,,,,,,,,
4,7500,7.11,13.78,,,,,,,,,,,,
4,10000,7.63,13.41,,,,,,,,,,,,
8,100,7.76,11.17,,,,,,,,,,,,
8,250,7.76,14.78,,,,,,,,,,,,
8,500,7.76,11.51,,,,,,,,,,,,
8,750,7.76,15.54,,,,,,,,,,,,
8,1000,7.76,15.39,,,,,,,,,,,,
8,2500,7.76,15.38,,,,,,,,,,,,
8,5000,7.72,19.76,,,,,,,,,,,,
8,7500,7.75,24.01,,,,,,,,,,,,
8,10000,7.79,26,,,,,,,,,,,,
12,100,7.76,12.72,,,,,,,,,,,,
12,250,7.76,21.14,,,,,,,,,,,,
12,500,7.76,23.75,,,,,,,,,,,,
12,750,7.76,17.36,,,,,,,,,,,,
12,1000,7.76,18.43,,,,,,,,,,,,
12,2500,7.76,20.12,,,,,,,,,,,,
12,5000,7.74,24.28,,,,,,,,,,,,
12,7500,7.84,34.83,,,,,,,,,,,,
12,10000,7.73,36.51,,,,,,,,,,,,
16,100,7.76,9.07,,,,,,,,,,,,
16,250,7.76,15.6,,,,,,,,,,,,
16,500,7.76,21.89,,,,,,,,,,,,
16,750,7.76,22.71,,,,,,,,,,,,
16,1000,7.76,22.98,,,,,,,,,,,,
16,2500,7.76,24.58,,,,,,,,,,,,
16,5000,7.76,24.91,,,,,,,,,,,,
16,7500,7.78,27.42,,,,,,,,,,,,
16,10000,7.76,32.87,,,,,,,,,,,,
20,100,7.76,9.92,,,,,,,,,,,,
20,250,7.76,19.22,,,,,,,,,,,,
20,500,7.76,25.98,,,,,,,,,,,,
20,750,7.76,26.48,,,,,,,,,,,,
20,1000,7.76,28.08,,,,,,,,,,,,
20,2500,7.76,29.86,,,,,,,,,,,,
20,5000,7.76,30.04,,,,,,,,,,,,
20,7500,7.76,30.57,,,,,,,,,,,,
20,10000,7.73,32.2,,,,,,,,,,,,
24,100,7.76,1.93,,,,,,,,,,,,
24,250,7.76,6.46,,,,,,,,,,,,
24,500,7.76,17.07,,,,,,,,,,,,
24,750,7.76,19.28,,,,,,,,,,,,
24,1000,7.76,28.34,,,,,,,,,,,,
24,2500,7.76,33.9,,,,,,,,,,,,
24,5000,7.76,34.95,,,,,,,,,,,,
24,7500,7.76,47.21,,,,,,,,,,,,
24,10000,7.73,52.57,,,,,,,,,,,,
32,100,7.76,6.13,,,,,,,,,,,,
32,250,7.76,17.84,,,,,,,,,,,,
32,500,7.76,20.44,,,,,,,,,,,,
32,750,7.76,22.49,,,,,,,,,,,,
32,1000,7.76,23.53,,,,,,,,,,,,
32,2500,7.76,29.85,,,,,,,,,,,,
32,5000,7.76,33.74,,,,,,,,,,,,
32,7500,7.75,48.74,,,,,,,,,,,,
32,10000,7.72,46.67,,,,,,,,,,,,
